# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	398
#@/user_id	da1390ef-815e-4a51-b807-fa295c9dead2
jian pan an jian 	鍵盤按鍵	c=1 d=0.444858 t=398
jian ti zi 	簡體字	c=0 d=0.0458406 t=398
jian ti zi wen dang 	簡體字文檔	c=1 d=0.460704 t=398
jiang 	將	c=6 d=3.87251 t=398
jiang bei fen wen jian 	將備份文件	c=1 d=1 t=364
jiang ben di 	將本地	c=1 d=0.535261 t=398
jiang ben di cang ku 	將本地倉庫	c=1 d=0.489192 t=398
jiang ruan jian mu lu 	將軟件目錄	c=1 d=0.304221 t=398
jiang wen jian 	將文件	c=1 d=1 t=361
jie shou 	接受	c=0 d=0.0276651 t=398
jie shou de 	接受的	c=1 d=0.278037 t=398
jin xing 	進行	c=4 d=2.09658 t=398
jin xing xuan ci 	進行選詞	c=1 d=0.375311 t=398
jing xing 	驚醒	c=1 d=0.946485 t=398
kai fa 	開發	c=0 d=0.1 t=389
kai fa da shen 	開發大神	c=1 d=1 t=390
ke long 	克隆	c=0 d=0.0579842 t=398
ke long xia lai 	克隆下來	c=2 d=1.18626 t=398
ke yi 	可以	c=1 d=0.551563 t=398
ke yi yong lai 	可以用來	c=1 d=0.786628 t=398
kuai di gong si 	快遞公司	c=0 d=0.1 t=392
kuai di gong si ming 	快遞公司名	c=1 d=1 t=393
kuai jie jian 	快捷鍵	c=5 d=1.326 t=398
kuai su 	快速	c=0 d=0.0235746 t=398
kuai su shu ru 	快速輸入	c=2 d=0.526312 t=398
la qu 	拉取	c=1 d=0.775157 t=398
la qu hou 	拉取後	c=1 d=0.70822 t=398
lai 	來	c=1 d=1 t=357
li mian 	裏面	c=1 d=1 t=346
li ru 	例如	c=1 d=0.313486 t=398
lie biao 	列表	c=1 d=1 t=358
lun wen 	論文	c=1 d=0.412714 t=398
mei you 	沒有	c=1 d=0.472367 t=398
mi ma 	密碼	c=1 d=0.918512 t=398
mi ren 	迷人	c=0 d=0.1 t=373
mi ren de shu xue 	迷人的數學	c=1 d=1 t=374
ming 	名	c=0 d=0.1 t=392
ming cheng 	名稱	c=2 d=0.811308 t=398
mo ren 	默認	c=6 d=2.15919 t=398
mo ren wei 	默認爲	c=1 d=0.280832 t=398
mo shi 	模式	c=2 d=0.522465 t=398
mo te 	模特	c=0 d=0.1 t=374
mu lu 	目錄	c=1 d=0.777543 t=398
na ge 	那個	c=1 d=0.382893 t=398
nei rong 	內容	c=0 d=0.0516851 t=398
pei zhi 	配置	c=4 d=1.39942 t=398
pei zhi can kao 	配置參考	c=1 d=0.463013 t=398
pei zhi wen jian 	配置文件	c=4 d=2.88358 t=398
pei zhi wen jian jia 	配置文件夾	c=1 d=0.310367 t=398
qi dong 	啓動	c=0 d=0.0647265 t=398
qi ta 	其他	c=0 d=0.123938 t=398
qi ta fen zhi 	其他分支	c=1 d=0.726149 t=398
qi ta nei rong 	其他內容	c=1 d=0.519442 t=398
qian 	前	c=1 d=0.697676 t=398
